side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase
L,,203671,0.423,1.200,0.623,104.7,5.3,6.0,444,572,0
L,,203681,0.529,1.494,0.245,127.5,9.7,-0.2,461,578,0
L,,203691,0.196,1.511,0.412,207.6,22.2,13.5,481,597,0
L,,203701,-0.135,1.785,0.084,209.3,20.7,-18.7,488,607,0
L,,203711,-0.081,1.340,-0.128,180.0,-28.7,-37.8,492,617,0
L,,203721,0.171,1.260,0.058,143.5,-65.2,-31.2,492,618,0
L,,203731,0.232,0.991,0.206,122.4,-84.7,-39.0,493,624,0
L,,203741,-0.051,0.880,0.013,105.6,-61.0,-39.8,477,627,0
L,,203751,-0.502,0.924,-0.248,94.7,-56.0,-55.4,491,634,0
L,,203761,-0.293,0.895,-0.022,72.3,-82.9,-41.2,498,648,0
L,,203771,-0.397,0.810,0.201,62.3,-74.8,-25.9,505,652,0
L,,203781,-0.615,1.060,0.170,81.2,-34.5,-18.2,515,661,0
L,,203791,-0.303,0.716,0.072,68.9,-16.2,-11.8,517,662,0
L,,203801,-0.332,1.003,0.076,68.6,-7.0,-0.7,521,671,0
L,,203811,-0.412,1.008,0.172,61.2,15.4,-5.7,523,676,0
L,,203821,-0.288,0.958,0.161,59.5,35.6,3.7,525,678,0
L,,203831,-0.244,0.967,0.185,62.1,57.7,10.3,527,678,0
L,,203841,-0.140,0.853,0.096,44.9,57.5,6.3,527,680,0
L,,203851,-0.018,0.892,0.051,35.2,45.7,5.7,531,684,0
L,,203861,-0.017,0.917,0.084,25.9,18.7,1.5,530,683,0
L,,203871,-0.120,0.963,0.131,20.2,29.6,-3.1,531,683,0
L,,203881,-0.124,0.981,0.058,16.5,24.8,-3.1,533,685,0
L,,203891,-0.094,0.981,0.123,7.1,10.2,-5.1,535,687,0
L,,203901,-0.168,0.892,0.119,6.3,-7.2,2.5,535,688,0
L,,203911,-0.276,0.950,0.163,9.0,-7.8,5.3,534,687,0
L,,203921,-0.291,0.955,0.185,11.1,-4.2,8.9,536,688,0
